round,average,clipping_median,cos_defense,dual_defense,fedavg,krum,our,trimmed_mean
92,96.58,95.9,98.06,96.52,96.63,93.98,97.59,96.97
93,96.49,96.17,98.19,96.75,96.14,94.22,98.03,97.57
94,96.7,95.96,98.18,96.3,95.9,94.75,97.46,97.63
95,96.95,95.77,98.2,95.12,95.66,93.93,97.23,97.82
96,96.73,96.35,98.13,95.67,96.88,93.83,97.52,97.72
97,96.6,96.79,98.19,96.01,96.06,93.24,97.84,97.68
98,96.57,96.37,97.91,96.79,96.35,92.88,97.39,97.55
99,96.49,95.91,98.13,96.4,96.39,92.41,97.73,97.63
100,96.81,94.82,98.25,96.69,95.67,94.73,97.96,97.71
101,96.67,95.66,98.12,96.88,96.42,93.95,97.94,97.6
102,96.47,96.16,98.23,96.65,96.54,92.71,97.05,97.48
103,96.68,96.24,98.13,96.79,96.14,95.04,97.85,97.83
104,96.9,95.93,97.95,96.32,95.73,95.81,97.67,97.86
105,96.41,96.24,97.96,96.21,96.59,93.24,97.82,97.66
106,96.11,96.56,98.4,96.91,96.47,93.74,97.99,97.76
107,96.16,95.98,98.48,96.09,96.11,89.44,97.82,97.75
108,95.84,95.46,98.04,96.66,96.12,88.0,98.01,97.82
109,96.07,95.8,98.51,97.25,96.79,88.46,97.99,97.74
110,96.75,95.86,98.2,96.87,96.3,92.4,97.5,97.81
111,96.71,96.38,98.15,95.67,96.75,91.88,97.58,97.13
112,96.27,96.35,98.55,97.01,97.03,91.45,97.99,97.7
113,96.35,95.81,98.3,97.05,96.96,93.62,98.14,97.7
114,97.29,96.69,98.38,96.93,96.65,92.64,98.11,97.64
115,96.66,94.94,98.21,97.01,96.68,94.65,97.89,97.76
116,96.86,96.41,98.43,96.98,96.19,94.46,97.92,97.67
117,96.16,96.41,98.31,97.04,96.06,94.31,97.61,97.51
118,96.65,96.35,98.48,96.88,96.75,95.19,97.82,97.72
119,96.11,96.28,98.59,97.1,96.8,95.5,98.05,97.4
120,97.04,96.35,98.38,97.08,95.77,95.6,98.02,97.53
121,96.89,96.55,98.21,97.05,96.5,95.83,98.1,97.4
122,96.29,96.88,98.32,97.47,96.35,95.61,98.14,97.81
123,96.39,96.59,98.44,97.07,96.56,94.66,97.46,98.0
124,96.36,96.41,98.65,97.39,96.74,94.6,98.14,97.65
125,96.28,96.67,98.59,97.49,96.3,94.43,97.74,97.93
126,96.09,96.68,98.46,97.21,96.71,94.36,98.14,97.95
127,96.83,96.38,98.56,96.83,96.95,92.44,97.93,97.97
128,96.96,96.69,98.49,97.53,96.66,89.24,98.35,97.83
129,97.15,96.0,98.53,96.52,96.59,93.79,98.07,97.89
130,96.82,96.88,98.68,97.06,96.32,95.1,98.2,97.76
131,96.77,97.01,98.46,97.32,96.4,93.04,98.13,97.45
132,96.25,96.85,98.25,97.14,96.25,94.29,97.51,97.76
133,96.43,97.08,98.53,96.69,96.45,95.01,98.27,97.68
134,96.41,96.68,98.56,97.54,96.34,92.99,98.12,97.91
135,96.93,96.72,98.35,97.66,96.7,95.06,98.22,98.05
136,96.56,96.12,98.48,97.54,96.03,92.87,97.7,97.92
137,96.56,96.59,98.51,96.93,96.47,93.76,97.9,97.96
138,96.75,96.6,98.68,97.3,96.77,93.67,98.15,97.7
139,96.68,96.69,98.62,97.18,96.62,95.06,98.21,98.01
140,96.47,96.46,98.6,97.28,97.21,95.72,98.18,98.05
141,97.06,95.87,98.47,97.12,96.91,95.46,97.73,98.2
142,97.12,96.63,98.44,97.43,96.49,91.17,98.0,97.78
143,96.9,95.65,98.58,97.32,96.8,95.11,98.15,97.4
144,96.56,96.59,98.5,96.88,96.25,94.26,98.25,97.92
145,96.01,96.74,98.64,97.28,96.57,95.76,98.19,98.16
146,96.13,96.72,98.52,97.13,95.83,94.35,97.8,97.97
147,96.11,96.75,98.58,97.64,96.45,94.57,98.41,98.1
148,96.8,96.85,98.46,97.49,96.23,94.48,98.17,98.19
149,96.84,96.81,98.37,97.34,96.86,91.07,98.13,98.26
