round,average,clipping_median,cos_defense,dual_defense,fedavg,krum,our,trimmed_mean
92,75.1,73.25,81.33,79.64,82.03,57.54,67.7,79.79
93,77.79,69.6,78.56,70.88,73.76,65.26,77.53,77.77
94,77.48,74.52,71.45,76.66,80.15,72.29,79.64,79.49
95,78.59,75.5,80.24,65.64,75.05,72.77,76.73,81.11
96,79.5,75.25,83.37,77.83,78.58,73.68,79.86,81.06
97,76.53,76.29,84.48,78.69,78.05,70.67,80.04,81.55
98,77.73,68.25,84.03,66.14,78.32,73.99,81.93,80.79
99,75.06,72.68,79.45,78.95,77.04,73.78,78.91,80.25
100,76.18,74.64,77.73,79.13,80.92,76.29,73.11,79.77
101,80.0,76.34,79.56,76.85,81.86,66.94,76.51,75.62
102,76.57,74.45,84.47,77.02,78.56,72.75,79.53,77.44
103,79.17,74.8,85.14,77.23,76.08,73.45,78.73,82.71
104,80.65,75.1,84.95,78.62,75.13,73.88,79.18,80.97
105,79.42,75.34,84.66,79.94,77.69,68.57,79.6,80.91
106,79.93,74.3,83.65,78.35,79.94,64.55,76.63,82.61
107,80.21,76.02,79.32,77.51,78.05,69.54,78.59,80.22
108,80.11,75.8,83.07,75.3,71.97,66.12,77.88,81.24
109,80.86,78.07,82.65,79.63,73.7,58.19,81.26,81.62
110,77.59,76.87,82.93,80.13,78.86,72.03,74.89,80.77
111,79.21,69.66,84.91,76.54,77.88,75.12,81.98,83.3
112,80.66,73.33,83.23,79.63,79.64,69.79,79.19,79.27
113,79.52,78.91,82.32,80.77,75.4,61.69,76.33,81.88
114,78.88,72.86,83.64,77.45,81.07,69.97,77.46,80.59
115,79.58,79.71,66.77,76.55,79.21,71.96,75.43,80.83
116,76.58,77.18,84.28,78.4,78.49,70.2,79.47,82.19
117,77.77,76.85,80.21,77.58,79.47,69.64,80.52,78.52
118,78.37,73.59,81.35,80.46,81.21,64.47,79.12,81.71
119,79.89,78.36,84.67,68.27,79.25,64.53,79.44,82.49
120,80.87,75.72,84.27,77.6,80.11,67.58,81.26,81.1
121,79.76,77.21,84.3,78.64,75.8,72.82,81.16,82.11
122,80.22,75.05,81.62,80.07,80.89,69.21,81.64,80.92
123,80.08,77.34,70.74,80.14,80.73,66.32,74.78,80.32
124,79.94,74.06,81.52,80.73,75.59,73.14,82.05,80.51
125,75.85,77.62,85.65,76.74,76.15,67.04,82.63,82.47
126,79.19,78.4,72.45,67.05,80.8,69.01,80.96,82.83
127,81.33,73.52,84.66,80.24,76.14,69.08,79.21,79.85
128,79.02,75.33,85.0,79.87,79.9,73.55,79.56,82.13
129,76.37,77.29,85.36,78.72,79.87,73.45,80.74,81.33
130,79.39,72.26,83.55,82.61,79.19,68.88,81.64,80.93
131,79.54,77.58,83.0,82.45,78.59,66.82,79.8,82.36
132,81.71,73.03,80.54,80.82,79.94,70.91,80.4,80.1
133,78.87,74.55,78.1,81.2,79.3,74.04,81.75,78.89
134,78.58,79.92,84.43,77.64,79.36,73.41,82.59,83.05
135,79.78,75.33,78.88,79.75,79.97,72.4,77.59,81.44
136,79.62,76.37,79.59,72.44,80.17,75.21,77.9,77.57
137,80.65,72.75,85.56,81.91,74.63,71.21,80.02,82.15
138,79.5,78.84,85.64,77.02,78.12,71.56,80.86,81.94
139,81.37,77.65,84.57,78.37,78.09,75.48,81.92,82.59
140,79.73,72.92,85.14,81.41,76.25,68.6,82.53,82.23
141,79.17,75.92,85.84,80.39,79.96,65.61,80.79,83.74
142,76.87,75.27,84.89,81.58,79.65,72.48,76.9,82.52
143,80.04,75.69,85.48,80.64,79.87,72.93,79.23,83.37
144,81.21,76.68,82.02,78.68,79.26,72.92,80.97,82.6
145,80.63,74.52,84.12,78.91,79.18,62.22,78.04,80.51
146,81.18,76.88,83.06,76.61,81.52,69.94,77.33,81.19
147,81.36,76.6,86.79,70.08,80.84,74.96,81.01,83.57
148,81.66,76.46,83.18,81.12,81.23,76.92,81.8,82.71
149,80.71,71.6,83.89,82.1,74.7,78.82,81.46,80.35
