round,average,clipping_median,cos_defense,dual_defense,fedavg,krum,our,trimmed_mean
92,9.8,96.45,11.35,11.35,9.8,91.91,97.03,9.8
93,9.8,96.5,11.35,10.1,9.8,86.47,96.84,9.8
94,9.8,96.24,11.35,10.1,9.8,84.83,97.0,9.8
95,9.8,96.42,11.35,10.28,9.8,92.47,96.88,9.8
96,9.8,96.12,11.35,10.1,9.8,93.69,96.46,9.8
97,9.8,96.29,11.35,11.35,9.8,95.17,97.0,9.8
98,9.8,96.13,11.35,11.35,9.8,91.42,96.24,9.8
99,9.8,96.43,11.35,11.35,9.8,93.82,95.32,9.8
100,9.8,96.66,11.35,9.58,9.8,88.4,95.19,9.8
101,9.8,96.34,11.35,10.09,9.8,95.44,96.4,9.8
102,9.8,96.57,11.35,10.32,9.8,93.73,97.51,9.8
103,9.8,96.41,11.35,9.8,9.8,95.26,97.23,9.8
104,9.8,96.65,11.35,9.74,9.8,94.29,96.56,9.8
105,9.8,96.42,11.35,9.8,9.8,94.29,96.59,9.8
106,9.8,96.72,11.35,9.8,9.8,93.39,96.83,9.8
107,9.8,96.5,11.35,9.8,9.8,93.82,96.74,9.8
108,9.8,96.64,11.35,9.8,9.8,94.9,96.95,9.8
109,9.8,96.59,11.35,11.35,9.8,94.77,97.01,9.8
110,9.8,96.32,11.35,9.8,9.8,93.91,97.0,9.8
111,9.8,96.58,11.35,10.32,9.8,91.8,96.79,9.8
112,9.8,96.75,11.35,10.1,9.8,92.76,96.82,9.8
113,9.8,96.7,11.35,11.35,9.8,95.04,97.42,9.8
114,9.8,96.45,11.35,9.58,9.8,94.95,96.89,9.8
115,9.8,96.46,11.35,10.32,9.8,95.22,97.06,9.8
116,9.8,96.38,11.35,9.8,9.8,95.31,96.84,9.8
117,9.8,96.77,11.35,11.35,9.8,94.51,96.73,9.8
118,9.8,96.53,11.35,8.92,9.8,94.95,97.22,9.8
119,9.8,96.38,11.35,11.35,9.8,95.01,94.99,9.8
120,9.8,96.7,11.35,9.58,9.8,95.49,96.86,9.8
121,9.8,96.56,11.35,9.8,9.8,95.18,96.82,9.8
122,9.8,96.78,11.35,11.35,9.8,93.47,96.84,9.8
123,9.8,96.78,11.35,11.35,9.8,94.14,97.16,9.8
124,9.8,96.73,11.35,11.35,9.8,95.46,96.53,9.8
125,9.8,96.67,11.35,10.28,9.8,93.75,94.82,9.8
126,9.8,96.68,11.35,9.8,9.8,94.99,95.92,9.8
127,9.8,96.76,11.35,10.28,9.8,94.86,95.39,9.8
128,9.8,96.69,11.35,10.28,9.8,94.53,96.61,9.8
129,9.8,96.69,11.35,9.74,9.8,90.88,96.64,9.8
130,9.8,96.81,11.35,10.28,9.8,95.91,97.1,9.8
131,9.8,96.84,11.35,10.28,9.8,96.27,97.17,9.8
132,9.8,96.75,11.35,11.35,9.8,95.72,97.31,9.8
133,9.8,96.75,11.35,9.82,9.8,93.73,97.07,9.8
134,9.8,96.79,11.35,9.58,9.8,93.86,97.01,9.8
135,9.8,96.8,11.35,9.82,9.8,94.44,97.08,9.8
136,9.8,96.81,11.35,9.74,9.8,95.29,96.81,9.8
137,9.8,96.79,11.35,8.92,9.8,93.9,97.05,9.8
138,9.8,96.67,11.35,10.09,9.8,94.96,97.13,9.8
139,9.8,96.64,11.35,11.35,9.8,94.7,96.57,9.8
140,9.8,96.83,11.35,9.8,9.8,96.39,95.85,9.8
141,9.8,96.5,11.35,10.1,9.8,96.35,93.83,9.8
142,9.8,96.78,11.35,10.1,9.8,96.24,96.19,9.8
143,9.8,96.62,11.35,11.35,9.8,96.38,95.38,9.8
144,9.8,96.45,11.35,10.28,9.8,96.24,95.55,9.8
145,9.8,96.61,11.35,10.1,9.8,96.19,96.06,9.8
146,9.8,96.69,11.35,11.35,9.8,95.58,96.7,9.8
147,9.8,96.84,11.35,11.35,9.8,95.55,97.08,9.8
148,9.8,96.88,11.35,9.8,9.8,95.93,96.6,9.8
149,9.8,96.88,11.35,10.09,9.8,96.22,96.14,9.8
