round,average,clipping_median,cos_defense,dual_defense,fedavg,krum,our,trimmed_mean
92,10.0,77.19,10.02,10.0,10.0,67.85,77.38,10.0
93,10.0,71.38,10.02,10.0,10.0,62.07,75.15,10.0
94,10.0,77.1,10.02,10.0,10.0,64.93,77.99,10.0
95,10.0,77.47,10.02,10.0,10.0,72.04,77.07,10.0
96,10.0,75.64,10.02,10.0,10.0,70.24,78.09,10.0
97,10.0,76.0,10.02,10.0,10.0,68.58,75.72,10.0
98,10.0,76.34,10.02,10.0,10.0,75.05,77.66,10.0
99,10.0,76.38,10.02,10.0,10.0,65.56,77.99,10.0
100,10.0,76.17,10.02,10.0,10.0,62.14,75.19,10.0
101,10.0,74.31,10.02,10.0,10.0,67.16,78.17,10.0
102,10.0,74.79,10.02,10.0,10.0,73.22,77.17,10.0
103,10.0,75.56,10.02,10.0,10.0,70.84,76.11,10.0
104,10.0,74.21,10.02,10.0,10.0,75.5,77.92,10.0
105,10.0,77.97,10.02,10.0,10.0,75.04,73.24,10.0
106,10.0,76.01,10.02,10.0,10.0,65.25,78.41,10.0
107,10.0,76.26,10.02,10.0,10.0,63.91,76.72,10.0
108,10.0,78.17,10.02,10.0,10.0,72.18,77.36,10.0
109,10.0,72.54,10.02,10.0,10.0,76.22,76.9,10.0
110,10.0,74.5,10.02,10.0,10.0,74.3,78.86,10.0
111,10.0,78.78,10.02,10.0,10.0,64.3,75.68,10.0
112,10.0,74.5,10.02,10.0,10.0,74.8,78.05,10.0
113,10.0,76.99,10.02,10.0,10.0,76.83,77.24,10.0
114,10.0,76.07,10.02,10.0,10.0,70.44,76.58,10.0
115,10.0,77.9,10.02,10.0,10.0,72.89,78.86,10.0
116,10.0,77.81,10.02,10.0,10.0,70.74,78.46,10.0
117,10.0,77.04,10.02,10.0,10.0,66.44,76.32,10.0
118,10.0,79.32,10.02,10.0,10.0,76.79,75.54,10.0
119,10.0,79.24,10.02,10.0,10.0,71.52,74.97,10.0
120,10.0,78.58,10.02,10.0,10.0,64.9,77.91,10.0
121,10.0,77.95,10.02,10.0,10.0,71.09,75.57,10.0
122,10.0,78.55,10.02,10.0,10.0,77.92,76.14,10.0
123,10.0,79.27,10.02,10.0,10.0,78.48,77.48,10.0
124,10.0,78.72,10.02,10.0,10.0,74.48,74.55,10.0
125,10.0,76.48,10.02,10.0,10.0,58.3,78.49,10.0
126,10.0,77.46,10.02,10.0,10.0,69.78,78.64,10.0
127,10.0,78.61,10.02,10.0,10.0,74.97,77.91,10.0
128,10.0,78.48,10.02,10.0,10.0,70.47,74.57,10.0
129,10.0,79.68,10.02,10.0,10.0,74.37,71.59,10.0
130,10.0,78.75,10.02,10.0,10.0,62.33,78.56,10.0
131,10.0,79.06,10.02,10.0,10.0,65.21,76.62,10.0
132,10.0,78.13,10.02,10.0,10.0,74.18,76.29,10.0
133,10.0,75.21,10.02,10.0,10.0,73.45,74.25,10.0
134,10.0,73.42,10.01,10.0,10.0,72.71,76.57,10.0
135,10.0,79.1,10.01,10.0,10.0,72.28,77.53,10.0
136,10.0,75.13,10.01,10.0,10.0,76.27,76.06,10.0
137,10.0,77.95,10.0,10.0,10.0,73.65,74.63,10.0
138,10.0,75.0,10.0,10.0,10.0,70.38,75.92,10.0
139,10.0,74.53,10.0,10.0,10.0,71.04,75.95,10.0
140,10.0,77.68,10.0,10.0,10.0,76.13,73.29,10.0
141,10.0,78.58,10.0,10.0,10.0,72.74,71.29,10.0
142,10.0,74.59,10.0,10.0,10.0,74.74,74.27,10.0
143,10.0,77.04,10.0,10.0,10.0,70.48,73.58,10.0
144,10.0,75.44,10.0,10.0,10.0,70.78,76.27,10.0
145,10.0,78.5,10.0,10.0,10.0,74.47,70.81,10.0
146,10.0,76.83,10.0,10.0,10.0,77.58,72.73,10.0
147,10.0,77.05,10.0,10.0,10.0,79.47,77.58,10.0
148,10.0,76.9,10.0,10.0,10.0,78.87,73.15,10.0
149,10.0,78.3,10.0,10.0,10.0,80.43,69.16,10.0
